name;title;lore;spell.0.id;spell.0.name;spell.0.description;spell.1.id;spell.1.name;spell.1.description;spell.2.id;spell.2.name;spell.2.description;spell.3.id;spell.3.name;spell.3.description;passive.name;passive.description
Draven;Glorieux exécuteur;À Noxus, de puissants guerriers, les « arénaires », s'affrontent dans des jeux mortels pour divertir le public. Le sang y coule à foison et leurs forces y sont éprouvées, mais aucun d'entre eux n'a jamais été aussi célèbre que Draven. Cet ancien soldat découvrit que le public appréciait particulièrement son sens du spectacle, sans parler de son habileté avec des haches tournoyantes. Épris de sa propre perfection, Draven terrasse tous ses adversaires pour s'assurer que son nom continue de résonner dans les arènes de l'empire.;DravenSpinning;Hache tournoyante;La prochaine attaque de Draven infligera des dégâts physiques supplémentaires. Cette hache ricochera sur la cible et sera propulsée dans les airs. Si Draven l'attrape, il prépare automatiquement une autre Hache tournoyante. Draven peut avoir deux Haches tournoyantes simultanément.;DravenFury;Pulsion sanguinaire;Draven gagne des bonus en vitesse de déplacement et en vitesse d'attaque. Le bonus en vitesse de déplacement diminue rapidement sur la durée. Attraper une Hache tournoyante met fin au délai de récupération de Pulsion sanguinaire.;DravenDoubleShot;Division;Draven lance ses haches, infligeant des dégâts physiques aux cibles touchées et les repoussant sur le côté. Les cibles touchées sont ralenties.;DravenRCast;Volée mortelle;Draven lance deux énormes haches pour infliger des dégâts physiques aux unités touchées. Volée mortelle fait demi-tour et revient vers Draven après avoir frappé un champion ennemi. Draven peut aussi réactiver cette compétence quand les haches sont en vol pour les faire revenir plus tôt. La compétence inflige moins de dégâts par unité touchée et est réinitialisée quand les haches font demi-tour. De plus, elle exécute les ennemis dont les PV sont inférieurs au nombre d'effets Adoration cumulés par Draven.;League of Draven;Draven obtient l'Adoration de ses fans quand il rattrape une Hache tournoyante, quand il tue un sbire ou un monstre et quand il détruit une tourelle. Quand il tue des champions ennemis, Draven gagne des PO supplémentaires en fonction de l'Adoration cumulée.
Dr. Mundo;Dément de Zaun;Totalement fou, complètement porté sur l'homicide, horriblement violet, Dr. Mundo est la principale raison pour laquelle les citoyens de Zaun restent calfeutrés chez eux les nuits les plus sombres. Désormais médecin autoproclamé, il fut autrefois un patient de l'asile tristement célèbre de Zaun. Après avoir « soigné » tout le personnel, Dr. Mundo a commencé à exercer dans les mêmes salles où il fut traité et à reproduire les méthodes immorales dont il fut lui-même si souvent victime. Profitant d'une armoire remplie de médicaments et d'aucune connaissance en médecine, il se rend un peu plus monstrueux à chaque injection et terrorise les malheureux « patients » qui passent près de son cabinet.;DrMundoQ;Scie souillée;Dr. Mundo lance une scie à os souillée, ralentissant le premier ennemi touché et lui infligeant des dégâts selon ses PV actuels.;DrMundoW;Défibrillateur;Dr. Mundo s'électrocute, infligeant des dégâts continus aux ennemis proches et stockant une partie des dégâts subis. À la fin de la durée ou à la réactivation, Dr. Mundo inflige une vague de dégâts aux ennemis proches. Si la vague touche un ennemi, Dr. Mundo récupère des PV équivalents à un pourcentage des dégâts stockés.;DrMundoE;Contusion;Passive - Dr. Mundo gagne des dégâts d'attaque bonus selon ses PV max.<br><br>Active - Dr. Mundo donne un violent coup avec sa sacoche « médicale », infligeant des dégâts supplémentaires selon ses PV manquants. Si la cible meurt sur le coup, elle est repoussée et elle inflige des dégâts aux ennemis qu'elle traverse.;DrMundoR;Dosage maximal;Dr. Mundo s'injecte des produits chimiques et récupère instantanément un pourcentage de ses PV manquants. Il gagne ensuite de la vitesse de déplacement et régénère une partie de ses PV max sur une longue durée.;Il va où il veut;Dr. Mundo résiste au premier effet immobilisant qui l'affecte. En revanche, il perd des PV et laisse tomber une bonbonne chimique. Dr. Mundo peut la ramasser en marchant dessus, ce qui lui rend des PV et réduit le délai de récupération de cette compétence.<br><br>Dr. Mundo dispose aussi d'une régénération de PV considérablement accrue.<br>
Ekko;Fractureur du temps;Jeune prodige des rues mal famées de Zaun, Ekko est capable de manipuler le temps pour renverser toute situation dangereuse à son avantage. Il utilise sa propre invention, la clepsydre-zéro, pour explorer les différents possibles de la réalité, sculptant ainsi des moments parfaits qui donnent l'impression qu'il réussit l'impossible du premier coup, à chaque fois. Bien qu'Ekko aime sa liberté, lorsque ses proches sont menacés, lui et les Feux volants sont prêts à tout pour les défendre.;EkkoQ;Rétrobang;Ekko lance une grenade temporelle qui crée un champ de distorsion quand elle touche un champion ennemi, ralentissant toutes les unités prises à l'intérieur et leur infligeant des dégâts. Ensuite, la grenade se contracte et revient vers Ekko, infligeant des dégâts sur sa route.;EkkoW;Convergence parallèle;Les attaques de base d'Ekko infligent des dégâts magiques supplémentaires aux champions dont les PV sont bas. Ekko peut lancer Convergence parallèle pour fracturer la ligne temporelle, créant après quelques secondes une anomalie qui ralentit les ennemis pris à l'intérieur. Si Ekko entre dans l'anomalie, il obtient un bouclier et étourdit les ennemis en suspendant dans le temps leur existence.;EkkoE;Rush déphasé;Ekko esquive tout en chargeant sa clepsydre-zéro. Sa prochaine attaque infligera des dégâts supplémentaires et le téléportera près de sa cible en distordant la réalité.;EkkoR;Chronofracture;Ekko fracture sa ligne du temps, ce qui le rend impossible à cibler et lui permet de retourner à un moment qui lui est plus favorable. Il retourne là où il était quelques secondes plus tôt et récupère un pourcentage des PV qu'il a perdus pendant ces quelques secondes. Les ennemis proches de sa zone d'arrivée subissent d'importants dégâts.;RéZonance;Toutes les trois attaques ou compétences infligeant des dégâts sur une même cible, Ekko inflige des dégâts magiques supplémentaires. Si la cible est un champion, il gagne en plus un bref bonus en vitesse de déplacement.<br><br>
Elise;Reine araignée;Elise est un prédateur mortel qui vit dans un palais reclus et obscur, au plus profond de la plus vieille ville de Noxus. C'était autrefois une simple femme, maîtresse d'une Maison toute-puissante, mais la morsure d'un maléfique demi-dieu la transforma en un être aussi magnifique qu'inhumain : une créature arachnéenne qui tisse sa toile pour piéger ses proies. Pour maintenir sa jeunesse éternelle, Elise se repaît des innocents et peu sont ceux qui peuvent résister à sa séduction.;EliseHumanQ;Neurotoxine/Morsure venimeuse;Forme humaine : inflige des dégâts en fonction des PV actuels de la cible.<br><br>Forme arachnéenne : fonce sur un ennemi et lui inflige des dégâts en fonction de ses PV manquants.;EliseHumanW;Araignée explosive/Frénésie symbiotique;Forme humaine : libère une araignée gorgée de venin qui explose en approchant d'une cible.<br><br>Forme arachnéenne : Elise et ses araignées voient leur vitesse d'attaque augmentée.;EliseHumanE;Cocon/Suspension;Forme humaine : étourdit la première unité ennemie touchée et la révèle si elle n'est pas furtive.<br><br>Forme arachnéenne : Elise et ses araignées se suspendent dans les airs puis se laissent tomber sur l'ennemi ciblé. Après qu'Elise est retombée sur un ennemi, les dégâts supplémentaires et les soins de Reine araignée sont augmentés.;EliseR;Forme arachnéenne;Se transforme en une terrifiante araignée, ce qui réduit sa portée d'attaque mais augmente sa vitesse de déplacement, la dote de nouvelles compétences et lui offre une horde d'araignées qui attaque ses ennemis.;Reine araignée;Forme humaine : quand les compétences d'Elise touchent un ennemi, elle génère une araignée en sommeil.<br><br>Forme arachnéenne : les attaques de base infligent des dégâts magiques supplémentaires et rendent des PV à Elise.
Evelynn;Démon sadique;Dans les sombres failles de Runeterra, le démon nommé Evelynn cherche sa prochaine victime. Elle attire sa proie en se faisant passer pour une femme voluptueuse, et dès que sa cible succombe à ses charmes, Evelynn révèle sa véritable nature. Elle inflige alors à sa victime des tourments indicibles et se repaît de sa douleur. Pour un démon, ce ne sont que des plaisirs innocents. Aux yeux du reste de Runeterra, ce sont des contes terrifiants, qui rappellent les dangers du désir et de la luxure.;EvelynnQ;Piques de haine;Evelynn frappe avec son cirre et inflige des dégâts à la première unité touchée. Elle peut ensuite tirer une ligne de piques vers les ennemis proches, jusqu'à 3 fois.;EvelynnW;Séduction;Evelynn maudit une cible, ce qui permet à sa prochaine attaque ou à son prochain sort de charmer sa cible et de réduire sa résistance magique.;EvelynnE;Coup de fouet;Evelynn donne un coup de fouet à sa cible avec son cirre et lui inflige des dégâts. Elle augmente ensuite sa vitesse de déplacement pendant un court instant.;EvelynnR;Faiseuse de veuves;Evelynn devient brièvement impossible à cibler et ravage la zone devant elle avant de se téléporter loin en arrière.;Ombre démoniaque;En dehors des combats, Evelynn se plonge dans une Ombre démoniaque. Ombre démoniaque soigne Evelynn quand ses PV sont bas et lui octroie un camouflage à partir du niveau 6.
Ezreal;Explorateur prodigue;Aventurier audacieux, doué sans le savoir pour les arts magiques, Ezreal poursuit ses expéditions dans les catacombes oubliées, se bat avec d'antiques malédictions et contourne avec aisance les obstacles les plus impossibles. Son courage et son panache sont sans borne, et il préfère improviser son salut dans les situations critiques, avec pour armes principales sa vivacité d'esprit et son gantelet mystique shurimien, qu'il utilise pour déchaîner de puissants projectiles arcaniques. Une chose est sûre : quand Ezreal est dans les parages, les problèmes ne sont pas loin. Et ils sont partout. Absolument partout.;EzrealQ;Tir mystique;Ezreal tire un trait d'énergie blessant qui, s'il touche un ennemi, réduit légèrement tous les délais de récupération d'Ezreal.;EzrealW;Flux essentiel;Ezreal tire un orbe qui se colle au premier champion ou objectif touché. Si Ezreal frappe un ennemi affecté par un orbe, ce dernier explose et inflige des dégâts.;EzrealE;Transfert arcanique;Ezreal se téléporte dans une zone ciblée et tire un projectile autoguidé qui frappe l'ennemi le plus proche. Le tir vise en priorité les ennemis affectés par Flux essentiel.;EzrealR;Arc térébrant;Ezreal se concentre avant de tirer une puissante vague d'énergie qui inflige d'importants dégâts à chaque unité traversée (les dégâts sont réduits pour les sbires et les monstres non épiques).;Force grandissante;Ezreal augmente sa vitesse d'attaque chaque fois qu'il touche un ennemi avec une compétence (cumulable jusqu'à 5 fois).
Fiddlesticks;Effroi nocturne;Quelque chose s'est éveillé à Runeterra. Quelque chose d'ancien. Quelque chose de terrible. L'horreur intemporelle connue sous le nom de Fiddlesticks arpente les frontières des civilisations mortelles, attirée dans les régions en proie à la paranoïa, où elle se repaît de ses victimes terrorisées. Armée d'une faux ébréchée, la créature décharnée moissonne la peur elle-même et fait voler en éclats l'esprit de ceux qui ont eu la malchance de lui survivre. Prenez garde aux cris des corbeaux et aux chuchotements de la silhouette qui vous <i>paraît</i> humaine... car Fiddlesticks est de retour.;FiddleSticksQ;Terreur;Si Fiddlesticks blesse un ennemi avec un sort en n'étant pas visible ou s'il cible un ennemi avec la propriété active de Terreur, il terrifie cet ennemi et le fait fuir aussi longtemps que dure l'effet.;FiddleSticksW;Moisson fructueuse;Fiddlesticks draine l'essence vitale des ennemis proches, infligeant des dégâts d'exécution supplémentaires à la fin de l'effet.;FiddleSticksE;Fauchaison;Fiddlesticks donne un coup de faux dans une zone, ralentissant tous les ennemis touchés et réduisant au silence ceux touchés au centre de la zone.;FiddleSticksR;Rafale de corbeaux;Une nuée de corbeaux tourbillonne sauvagement autour de Fiddlesticks, infligeant des dégâts par seconde à toutes les unités ennemies dans la zone.;Épouvantable épouvantail;La relique de Fiddlesticks est remplacée par des Effigies d'épouvantail.
Fiora;Sublime bretteuse;Fiora est la duelliste la plus redoutée de Valoran : elle est connue pour ses manières brusques et sa vivacité d'esprit autant que pour la rapidité de sa rapière d'acier bleu. Née au sein de la Maison Laurent du royaume de Demacia, Fiora a pris le contrôle de la famille à son père dans les remous d'un scandale qui faillit la détruire. La réputation de la Maison Laurent a été ternie, mais Fiora investit toute son énergie à restaurer l'honneur de sa famille pour qu'elle reprenne sa place légitime parmi les grands de Demacia.;FioraQ;Fente;Fiora se fend dans une direction et frappe un ennemi proche, infligeant des dégâts physiques et appliquant ses effets à l'impact.;FioraW;Riposte;Fiora pare tous les dégâts et toutes les entraves qui la ciblent pendant un court instant, après quoi elle donne un coup d'estoc dans une direction. Ce coup d'estoc ralentit le premier champion ennemi touché. Si Fiora a paré un effet immobilisant, elle étourdit le premier champion ennemi touché.;FioraE;Botte secrète;Fiora augmente sa vitesse d'attaque pour ses deux prochaines attaques. La première attaque ralentit la cible et la seconde inflige un coup critique.;FioraR;Défi suprême;Fiora révèle les quatre points faibles d'un champion ennemi et augmente sa vitesse de déplacement à proximité de ce champion. Si Fiora frappe les quatre points faibles ou si l'adversaire meurt après qu'elle en a frappé au moins un, Fiora et ses alliés dans la zone sont soignés pendant quelques secondes.;Danse de la duelliste;Fiora a révélé un des <keywordMajor>points faibles</keywordMajor> de ce champion. Si elle frappe ce <keywordMajor>point faible</keywordMajor>, elle <healing>récupère des PV</healing> et gagne de la <speed>vitesse de déplacement</speed>.
Fizz;Filou des mers;Fizz est un yordle amphibie qui vit dans les récifs qui entourent Bilgewater. Il essaie souvent de récupérer et de rendre les tributs que lancent dans l'océan les capitaines superstitieux, mais même le plus dessalé des marins n'est pas assez arrogant pour essayer de le tromper. On raconte bien des histoires sur ceux qui ont sous-estimé son humeur changeante... Souvent confondu avec un esprit océanique capricieux, il semble capable de commander aux créatures des profondeurs et n'aime rien tant que confondre alliés comme ennemis.;FizzQ;Frappe de l'oursin;Fizz traverse sa cible, infligeant des dégâts magiques et des effets à l'impact.;FizzW;Trident marin;Les attaques de Fizz font saigner ses ennemis, infligeant des dégâts magiques en plusieurs secondes. Fizz peut renforcer sa prochaine attaque pour infliger des dégâts supplémentaires, et renforcer ses attaques suivantes pour une courte durée.;FizzE;Joueur/Filou;Fizz saute et retombe avec grâce sur sa lance, devenant impossible à cibler. Depuis cette position, Fizz peut soit frapper le sol, soit sauter à nouveau avant de retomber.;FizzR;Pêche au gros;Fizz lance un poisson qui s'accroche à tout champion qui le touche, ralentissant la cible. Après un court instant, un requin surgit du sol, projetant la cible dans les airs et repoussant les ennemis proches. Tous les ennemis touchés subissent des dégâts magiques et sont ralentis.;Combattant agile;Fizz peut traverser les unités et profite d'un montant fixe de réduction des dégâts contre toutes les sources de dégâts.
Galio;Colosse;"Près de la cité étincelante de Demacia, le colosse de pierre Galio monte une garde attentive. Érigé comme un rempart contre les mages ennemis, il reste souvent immobile pendant des décennies, jusqu'à ce que l'apparition de puissants flux magiques le ramène à la vie. Une fois éveillé, Galio profite de chaque seconde d'existence ; il s'enivre des frissons du combat et de l'honneur trop rare de défendre ses compatriotes. Mais ses triomphes ont toujours un arrière-goût amer, car la magie qu'il éradique est également la sève qui le fait vivre, et chaque victoire le renvoie au sommeil.";GalioQ;Vents de guerre;Galio tire deux rafales de vent qui convergent pour créer une grande tornade infligeant des dégâts sur la durée.;GalioW;Bouclier de Durand;Galio canalise une posture défensive, ce qui ralentit ses déplacements. Au relâchement de la canalisation, Galio provoque et blesse les ennemis proches.;GalioE;Horion de la justice;Galio fait un pas en arrière et charge, projetant en l'air le premier champion ennemi qu'il touche.;GalioR;Entrée héroïque;Galio désigne la position d'un allié comme zone d'atterrissage, octroyant un bouclier anti-dégâts magiques à tous les alliés dans la zone. Après un délai, Galio s'abat sur cet emplacement, projetant en l'air les ennemis proches.;Frappe colossale;Toutes les quelques secondes, la prochaine attaque de base de Galio inflige des dégâts magiques supplémentaires dans une zone.
Gangplank;Fléau des mers;Aussi imprévisible que brutal, le roi des pillards déchu connu sous le nom de Gangplank est partout redouté. Il régnait autrefois sur la ville portuaire de Bilgewater et, bien que ce temps soit révolu, certains pensent que cela l'a rendu plus dangereux encore. Gangplank préférerait engloutir une fois de plus Bilgewater dans le sang plutôt que de laisser quelqu'un d'autre s'en emparer. Il possède aujourd'hui assez de pistolets, de sabres et de barils de poudre pour prétendre récupérer ce qu'il a perdu.;GangplankQWrapper;Pourparlers;Gangplank tire sur une cible. Il gagne des PO supplémentaires si le tir tue la cible.;GangplankW;Guérison du scorbut;Gangplank mange des agrumes pour dissiper les effets de contrôle de foule qui l'affectent et récupérer des PV.;GangplankE;Baril de poudre;Gangplank place un baril de poudre à l'endroit ciblé. S'il l'attaque, le baril explose, étendant les dégâts de l'attaque dans la zone et ralentissant les ennemis.;GangplankR;Tir de barrage;Gangplank demande à son navire de bombarder une zone, ralentissant et blessant les ennemis.;Épreuve du feu;Toutes les quelques secondes, les attaques de base de Gangplank mettent le feu à sa cible.
Garen;Force de Demacia;Garen est un guerrier fier et noble qui fait partie du Détachement hardi. Héritier des Crownguard, la famille chargée de défendre Demacia et ses idéaux, il est apprécié par ses compatriotes et respecté par ses ennemis. Équipé d'une armure résistante à la magie et d'une épée large, Garen affronte sans faillir les mages et les sorciers dans un véritable tourbillon d'acier.;GarenQ;Coup décisif;Garen reçoit un bonus en vitesse de déplacement et purge tous les ralentissements qui l'affectent. Sa prochaine attaque frappe un point vital de son adversaire, infligeant des dégâts supplémentaires et le réduisant au silence.;GarenW;Courage;Garen augmente passivement son armure et sa résistance magique quand il tue des ennemis. Il peut également activer cette compétence pour recevoir un bouclier et augmenter grandement sa Ténacité pendant un bref instant, avant de profiter d'un montant moindre de réduction des dégâts pendant une durée plus longue.;GarenE;Jugement;Garen donne des coups d'épée tourbillonnants, infligeant des dégâts physiques aux ennemis proches.;GarenR;Justice de Demacia;Garen en appelle à la puissance de Demacia pour tenter d'exécuter un champion ennemi.;Persévérance;Si Garen n'a pas subi de dégâts ou de compétences ennemies récemment, il régénère un pourcentage de ses PV totaux chaque seconde.
Gnar;Chaînon manquant;Gnar est un yordle primitif dont les manières joyeuses peuvent soudain faire place à une colère irrationnelle. Il se transforme alors en une bête colossale portée à la destruction. Gelé dans de la glace pure pendant des millénaires, la curieuse créature s'est libérée de sa prison. Aujourd'hui, il parcourt avec enthousiasme un monde qu'il trouve exotique et merveilleux. Enchanté par le danger, Gnar lance à ses ennemis tout ce qu'il trouve, qu'il s'agisse de son boomerang en croc ou d'un bâtiment proche.;GnarQ;Jet de boomerang/Jet de rocher;Gnar lance un boomerang qui blesse et ralentit les cibles touchées avant de retourner vers lui. S'il rattrape le boomerang, le délai de récupération est réduit.<br><br>Méga Gnar lance un rocher qui s'arrête à la première unité touchée, blessant et ralentissant tous les ennemis proches. Gnar peut ensuite ramasser le rocher pour réduire le délai de récupération.;GnarW;Agitation/Beigne;Gnar est agité à force d'attaquer et d'utiliser des compétences, ce qui lui permet d'infliger des dégâts supplémentaires et d'augmenter sa vitesse de déplacement.<br><br>Méga Gnar est enragé : il se dresse sur ses pattes arrière et frappe devant lui, étourdissant les ennemis dans la zone.;GnarE;Rebond/Aplatissement;Gnar bondit dans la direction ciblée et rebondit sur la tête de toute unité sur laquelle il atterrit, ce qui lui permet d'aller plus loin.<br><br>Méga Gnar est trop gros pour rebondir : il atterrit de façon fracassante et inflige des dégâts de zone.;GnarR;GNAR !;Méga Gnar projette tous les ennemis proches dans la direction ciblée, leur infligeant des dégâts et les ralentissant. Si un ennemi percute un mur, il est étourdi et il subit des dégâts supplémentaires.;Rage génique;Gnar génère de la Rage quand il combat. Une fois sa jauge de Rage remplie, sa prochaine compétence le transforme en Méga Gnar, ce qui améliore ses défenses et lui octroie de nouvelles compétences.
Gragas;Agitateur;Aussi imposant que jovial, Gragas est un brasseur à l'impressionnante carrure qui cherche la recette de la bière parfaite. Venu d'on ne sait où, il continue de chercher les ingrédients les plus rares dans les terres vierges de Freljord, essayant toutes les variations de bière au cours de son périple. Souvent ivre et toujours impulsif, il est légendaire pour ses rixes, qui finissent souvent en fêtes nocturnes préjudiciables au mobilier urbain. Toute apparition de Gragas annonce beuverie et destruction. Dans cet ordre.;GragasQ;Fût roulant;"Gragas fait rouler son fût vers une zone ciblée ; le fût explose automatiquement au bout de 4 sec (vous pouvez activer l'explosion manuellement). La puissance de l'explosion augmente sur la durée. La vitesse de déplacement des ennemis touchés est réduite.";GragasW;Rage d'ivrogne;Gragas boit pendant 1 sec. L'ivresse qui suit le rend plus fort, ce qui lui permet d'infliger des dégâts magiques à tous les ennemis proches avec sa prochaine attaque de base et de subir moins de dégâts.;GragasE;Coup de bidon;Gragas charge vers une zone ciblée et percute le premier ennemi rencontré, infligeant des dégâts à tous les ennemis proches et les étourdissant.;GragasR;Fût explosif;Gragas lance son fût, infligeant des dégâts et repoussant les ennemis touchés par l'explosion.;Tournée;Gragas récupère des PV quand il utilise une compétence.
Graves;Hors-la-loi;Malcolm Graves est un mercenaire, un parieur et un voleur recherché dans toutes les cités et tous les empires par lesquels il est passé. Malgré son tempérament explosif, il a un sens de l'honneur indéniable qu'il applique souvent avec son fusil à double canon, Destinée. Ces dernières années, il s'est réconcilié avec Twisted Fate. Leur partenariat rétabli, ils prospèrent à nouveau dans les allées sombres de Bilgewater.;GravesQLineSpell;Terminus;Graves tire un projectile qui explose au bout de 2 sec, ou au bout de 0.2 sec s'il touche un élément du décor.;GravesSmokeGrenade;Écran de fumée;Graves tire une grenade fumigène qui produit un nuage de fumée réduisant le champ de vision. Les ennemis touchés par l'impact initial subissent des dégâts magiques et sont brièvement ralentis.;GravesMove;Ruée vers l'or;Graves charge devant lui et profite d'un bonus en armure pendant quelques secondes. Si Graves fonce vers un champion ennemi, il gagne deux effets Nerfs d'acier au lieu d'un. Lorsqu'il touche des ennemis avec ses attaques de base, le délai de récupération de cette compétence est réduit et le bonus est actualisé.;GravesChargeShot;Dégâts collatéraux;Graves tire un obus explosif qui inflige de lourds dégâts au premier champion touché. Lorsque l'obus touche un champion ou arrive au bout de sa course, il explose et inflige des dégâts dans une zone en forme de cône.;Nouvelle destinée;Le fusil de Graves dispose de propriétés uniques. Graves doit recharger quand il n'a plus de munitions. Chaque attaque tire 4 balles qui ne traversent pas les unités. Les unités touchées par plusieurs balles sont repoussées (sauf les champions).
Gwen;Couturière sacrée;Ancienne poupée à qui la magie a conféré la vie, Gwen est armée des outils qui l'ont créée. Elle emporte à chaque pas l'amour de sa créatrice et ne tient jamais rien pour acquis. Elle commande à la Brume sacrée, une ancienne magie de protection qui a béni ses ciseaux, ses aiguilles et son fil à coudre. Tout est nouveau pour Gwen, mais elle reste déterminée à combattre dans la joie pour préserver le bien qui survit dans un monde en déréliction.;GwenQ;Tchac, tchac !;Gwen coupe jusqu'à 6 fois avec ses ciseaux, infligeant des dégâts magiques dans une zone conique. Gwen inflige des dégâts bruts aux unités au centre de la zone et applique sa compétence passive sur eux à chaque coup de ciseaux.;GwenW;Brume sacrée;Gwen invoque une brume qui la protège des ennemis hors de la zone. Elle ne peut être ciblée que par les ennemis qui entrent dans la brume.;GwenE;Élan incisif;Gwen effectue une courte ruée, puis gagne de la vitesse d'attaque, de la portée d'attaque et des dégâts magiques <OnHit>à l'impact</OnHit> pendant quelques secondes. Si elle frappe un ennemi pendant cette durée, le délai de récupération de cette compétence est réduit. ;GwenR;Piqûre;Gwen lance une aiguille qui ralentit les ennemis touchés, inflige des dégâts magiques et applique Mille coupures sur les champions touchés. <br><br>Cette compétence peut être activée jusqu'à deux fois de plus. Chaque activation lance des aiguilles supplémentaires et inflige plus de dégâts. Gwen doit frapper un ennemi entre chaque activation pour pouvoir déverrouiller la suivante. ;Mille coupures;Les attaques de Gwen infligent des dégâts magiques supplémentaires selon les PV de la cible. Gwen récupère des PV équivalents à une partie des dégâts que cet effet inflige aux champions. 
Hecarim;Ombre de la guerre;Fusion spectrale de l'homme et de la bête, Hecarim est condamné à pourchasser les âmes des vivants pour l'éternité. Lorsque les ombres ont envahi les Îles bénies, ce fier chevalier et sa horde de cavaliers ont été anéantis par les énergies destructrices de la Ruine. À présent, quand la Brume noire s'étend sur Runeterra, il mène la charge et se plaît à massacrer et écraser ses ennemis sous ses lourds sabots.;HecarimRapidSlash;Carnage;Hecarim tranche les ennemis proches et leur inflige des dégâts physiques. Si Hecarim blesse au moins un ennemi, il augmente les dégâts et réduit le délai de récupération des Carnages suivants.;HecarimW;Essence de la peur;Hecarim gagne de l'armure et de la résistance magique. Hecarim inflige des dégâts magiques aux ennemis proches. Il regagne un nombre de PV équivalent à un pourcentage de tous les dégâts subis par ces ennemis.;HecarimRamp;Charge dévastatrice;La vitesse de déplacement d'Hecarim augmente et il peut traverser les unités pendant un court instant. Sa prochaine attaque repousse la cible et inflige des dégâts physiques supplémentaires en fonction de la distance parcourue depuis l'activation de la compétence.;HecarimUlt;Légion des ombres;Hecarim invoque des cavaliers fantomatiques et charge devant lui, infligeant des dégâts magiques sur une ligne. À la fin de sa charge, Hecarim crée une onde de choc qui effraie les ennemis proches.;Galop;Les dégâts d'attaque d'Hecarim augmentent d'un montant égal à un pourcentage de sa vitesse de déplacement bonus.
Heimerdinger;Inventeur réputé;L'excentrique professeur Cecil B. Heimerdinger est considéré comme l'un des inventeurs les plus innovants qu'ait connus le monde. En tant que plus ancien membre actif du Conseil de Piltover, il a été témoin du meilleur comme du pire que le désir de progrès incessant de la ville a pu produire. Néanmoins, ce brillant scientifique et enseignant restera toujours déterminé à utiliser ses dispositifs atypiques pour améliorer la vie d'autrui.;HeimerdingerQ;Tourelle H-28G Évolution;Heimerdinger déploie une tourelle équipée d'un laser secondaire perforant (elle inflige 50% de dégâts aux tourelles ennemies).;HeimerdingerW;Micro-roquettes Hextech;Heimerdinger lance des roquettes à longue portée qui convergent vers son curseur.;HeimerdingerE;Grenade électro-tempête CH-2;Heimerdinger lance une grenade vers l'endroit ciblé, infligeant des dégâts aux unités ennemies. Cela étourdit aussi les unités touchées directement et ralentit les unités proches.;HeimerdingerR;AMÉLIORATION !;Heimerdinger invente une amélioration, ce qui permet à son prochain sort d'avoir des effets augmentés.;Affinité Hextech;Gagne de la vitesse de déplacement à proximité des tourelles alliées et des tourelles déployées par Heimerdinger.
Hwei;Visionnaire;Hwei est un peintre dont les œuvres sont aussi flamboyantes que son humeur est morose. Il utilise son art pour faire face aux criminels d'Ionia et apporter du réconfort à leurs victimes. Sous sa mélancolie se débat un esprit déchiré et émotif, hanté à la fois par les splendides visions de son imagination et par les souvenirs horribles de son temple détruit. Hwei cherche à comprendre cette lumière et ces ténèbres, ce qui le met inévitablement sur la piste de l'artiste à l'origine de ce conflit. Avec son pinceau et sa palette, Hwei donne forme à d'infinies possibilités tandis qu'il s'approche d'une réponse à ses questions, ou du plus complet désespoir.;HweiQ;Sujet : Désastres;Hwei imagine une série de désastres, ce qui lui permet de peindre des coups dévastateurs.<br><br>Désastres remplace les compétences de Hwei par des compétences blessantes : Feu dévastateur, Éclair enflammé et Champ de lave.;HweiW;Sujet : Sérénités;Hwei imagine une série de sérénités, ce qui lui permet de peindre des paysages revigorants.<br><br>Sérénités remplace les compétences de Hwei par des compétences utilitaires : Ruisseau, Étang et Nuit étoilée.;HweiE;Sujet : Tourments;Hwei imagine une série de tourments, ce qui lui permet de peindre des visages manipulateurs.<br><br>Tourments remplace les compétences de Hwei par des contrôles de foule : Visage effroyable, Œil des abysses et Mâchoires chatoyantes.;HweiR;Vision de désespoir;Hwei peint une vision de pur désespoir. Le premier champion ennemi touché devient le centre d'une peinture grandissante, qui ralentit et blesse les ennemis proches. Cette vision explose lorsqu'elle atteint sa limite de taille, ou lorsque le champion affecté meurt.;Signature du Visionnaire;Hwei prépare les champions ennemis qu'il blesse à l'aide de ses compétences pour sa touche finale : sa signature.<br><br>Toucher un ennemi avec une deuxième compétence blessante termine sa signature, qui apparaît sous l'ennemi. La signature explose après un court délai, infligeant des dégâts magiques à tous les ennemis à portée.
